Week,Date,Road,Home
13,2017-12-03,LAR,@ARI
13,2017-12-03,MIN,@ATL
13,2017-12-03,NE,@BUF
13,2017-12-03,NYG,@OAK
13,2017-12-03,PHI,@SEA
13,2017-12-04,PIT,@CIN
13,2017-11-30,WAS,@DAL
13,2017-12-03,CAR,@NO
13,2017-12-03,CLE,@LAC
13,2017-12-03,SF,@CHI
13,2017-12-03,TB,@GB
14,2017-12-10,CHI,@CIN
14,2017-12-10,DAL,@NYG
14,2017-12-10,DET,@TB
14,2017-12-10,IND,@BUF
14,2017-12-10,MIN,@CAR
14,2017-12-11,NE,@MIA
14,2017-12-07,NO,@ATL
14,2017-12-10,OAK,@KC
14,2017-12-10,PHI,@LAR
14,2017-12-10,SEA,@JAC
14,2017-12-10,TEN,@ARI
14,2017-12-10,WAS,@LAC
14,2017-12-10,BAL,@PIT
14,2017-12-10,GB,@CLE
14,2017-12-10,NYJ,@DEN
14,2017-12-10,SF,@HOU
15,2017-12-18,ATL,@TB
15,2017-12-16,CHI,@DET
15,2017-12-17,DAL,@OAK
15,2017-12-14,DEN,@IND
15,2017-12-17,HOU,@JAC
15,2017-12-16,LAC,@KC
15,2017-12-17,LAR,@SEA
15,2017-12-17,MIA,@BUF
15,2017-12-17,NE,@PIT
15,2017-12-17,PHI,@NYG
15,2017-12-17,TEN,@SF
15,2017-12-17,ARI,@WAS
15,2017-12-17,BAL,@CLE
15,2017-12-17,CIN,@MIN
15,2017-12-17,GB,@CAR
15,2017-12-17,NYJ,@NO
16,2017-12-24,ATL,@NO
16,2017-12-24,BUF,@NE
16,2017-12-24,DEN,@WAS
16,2017-12-24,DET,@CIN
16,2017-12-23,IND,@BAL
16,2017-12-24,LAC,@NYJ
16,2017-12-24,LAR,@TEN
16,2017-12-24,MIA,@KC
16,2017-12-23,MIN,@GB
16,2017-12-24,NYG,@ARI
16,2017-12-25,OAK,@PHI
16,2017-12-25,PIT,@HOU
16,2017-12-24,SEA,@DAL
16,2017-12-24,CLE,@CHI
16,2017-12-24,JAC,@SF
16,2017-12-24,TB,@CAR
17,2017-12-31,BUF,@MIA
17,2017-12-31,CHI,@MIN
17,2017-12-31,DAL,@PHI
17,2017-12-31,HOU,@IND
17,2017-12-31,KC,@DEN
17,2017-12-31,NO,@TB
17,2017-12-31,OAK,@LAC
17,2017-12-31,WAS,@NYG
17,2017-12-31,ARI,@SEA
17,2017-12-31,CAR,@ATL
17,2017-12-31,CIN,@BAL
17,2017-12-31,CLE,@PIT
17,2017-12-31,GB,@DET
17,2017-12-31,JAC,@TEN
17,2017-12-31,NYJ,@NE
17,2017-12-31,SF,@LAR
