player,position,team,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,total,average
Brennan Scarlett ,LB,HOU,0,22,0,4,0,1,1,8,0, , , , , , , , ,36,4.5
Eddie Yarbrough ,DE,BUF,39,22,28,19,17,22,32,33,0, , , , , , , , ,212,26.5
Kenneth Durden ,CB,TEN,0,0,3,0,0,0,0,bye,0, , , , , , , , ,3,1.0
Branden Jackson ,DE,SEA,0,0,0,33,29,39,bye,27,0, , , , , , , , ,128,32.0
Andrew Adams ,S,TB,0,0,0,0,bye,4,2,13,0, , , , , , , , ,19,4.8
Josh Hawkins ,CB,CAR,0,0,0,bye,0,6,0,0,0, , , , , , , , ,6,1.2
Kentrell Brice ,S,GB,70,73,61,58,61,57,bye,66,0, , , , , , , , ,446,63.7
Reggie Gilbert ,LB,GB,37,34,24,25,31,23,bye,34,0, , , , , , , , ,208,29.7
Isaiah Johnson ,S,TB,0,1,3,60,bye,0,44,14,0, , , , , , , , ,122,17.4
Brian Poole ,S,ATL,63,59,70,56,37,58,45,bye,0, , , , , , , , ,388,55.4
Sharrod Neasman ,S,ATL,0,0,0,0,14,0,40,bye,0, , , , , , , , ,54,18.0
Mitchell Loewen ,DE,NO,0,4,0,0,0,bye,0,0,0, , , , , , , , ,4,4.0
Matthias Farley ,S,IND,23,29,9,45,45,0,0,0,bye, , , , , , , , ,151,30.2
Cory Littleton ,LB,LAR,74,34,52,74,60,66,44,52,0, , , , , , , , ,456,57.0
Nicholas Grigsby ,LB,NE,1,0,3,11,5,0,0,8,0, , , , , , , , ,28,3.5
Tyvis Powell ,S,SF,0,0,0,0,0,0,4,21,0, , , , , , , , ,25,6.3
Javien Elliott ,CB,TB,0,1,0,0,bye,2,0,0,0, , , , , , , , ,3,0.5
Myles Garrett ,DE,CLE,84,65,57,87,77,50,83,62,0, , , , , , , , ,565,70.6
Jonathan Allen ,DT,WAS,28,43,65,bye,55,49,54,48,0, , , , , , , , ,342,48.9
Solomon Thomas ,DE,SF,35,36,43,49,36,26,39,35,0, , , , , , , , ,299,37.4
Malik Hooker ,S,IND,41,74,82,86,69,71,49,0,bye, , , , , , , , ,472,67.4
Reuben Foster ,LB,SF,0,0,74,68,51,71,51,22,0, , , , , , , , ,337,56.2
Marshon Lattimore ,CB,NO,65,61,68,62,6,bye,68,70,0, , , , , , , , ,400,57.1
Jabrill Peppers ,S,CLE,35,36,40,37,48,33,66,40,0, , , , , , , , ,335,41.9
Teez Tabor ,CB,DET,2,50,0,4,32,bye,54,40,0, , , , , , , , ,182,26.0
Derek Barnett ,DE,PHI,40,35,38,53,0,31,37,0,bye, , , , , , , , ,234,39.0
Zach Cunningham ,LB,HOU,47,42,45,91,62,62,68,16,0, , , , , , , , ,433,54.1
Marlon Humphrey ,CB,BAL,54,76,68,62,58,29,0,0,0, , , , , , , , ,347,57.8
Sidney Jones ,CB,PHI,45,31,46,47,40,8,0,0,bye, , , , , , , , ,217,36.2
Takkarist McKinley ,LB,ATL,47,36,0,49,36,51,44,bye,0, , , , , , , , ,263,43.8
Tim Williams ,LB,BAL,23,10,24,19,0,22,9,12,0, , , , , , , , ,119,17.0
Taco Charlton ,DE,DAL,49,57,41,32,48,24,20,bye,0, , , , , , , , ,271,38.7
Haason Reddick ,LB,ARI,14,3,4,9,98,71,59,66,bye, , , , , , , , ,324,40.5
Charles Harris ,DE,MIA,23,22,34,34,42,0,0,0,0, , , , , , , , ,155,31.0
Caleb Brantley ,DT,WAS,0,0,0,bye,0,0,0,3,0, , , , , , , , ,3,1.5
Chris Wormley ,DT,BAL,37,36,35,27,18,14,20,41,0, , , , , , , , ,228,28.5
Jarrad Davis ,LB,DET,58,64,48,69,77,bye,51,63,0, , , , , , , , ,430,61.4
T.J. Watt ,LB,PIT,85,53,66,70,52,51,bye,53,0, , , , , , , , ,430,61.4
Tyus Bowser ,LB,BAL,20,9,12,5,13,0,0,13,0, , , , , , , , ,72,10.3
Gareon Conley ,CB,OAK,57,64,31,55,12,0,bye,76,0, , , , , , , , ,295,42.1
Adoree' Jackson ,CB,TEN,48,64,23,77,45,74,44,bye,0, , , , , , , , ,375,53.6
Kevin King ,CB,GB,70,26,0,0,51,57,bye,76,0, , , , , , , , ,280,56.0
Ahkello Witherspoon ,CB,SF,71,64,40,51,29,0,57,65,0, , , , , , , , ,377,47.1
Tre'Davious White ,CB,BUF,77,56,66,76,54,61,58,75,0, , , , , , , , ,523,65.4
Matt Milano ,LB,BUF,76,42,47,55,53,61,65,75,0, , , , , , , , ,474,59.3
Davon Godchaux ,DT,MIA,29,34,51,57,41,49,47,49,0, , , , , , , , ,357,44.6
Cordrea Tankersley ,CB,MIA,0,0,0,0,0,29,0,0,0, , , , , , , , ,29,4.8
Raekwon McMillan ,LB,MIA,61,65,60,54,43,39,54,53,0, , , , , , , , ,429,53.6
Vincent Taylor ,DT,MIA,18,23,43,27,29,30,23,11,0, , , , , , , , ,204,25.5
Marcus Maye ,S,NYJ,0,0,0,77,77,43,0,66,0, , , , , , , , ,263,65.8
Austin Calitro ,LB,SEA,33,66,8,1,4,14,bye,0,0, , , , , , , , ,126,18.0
Derek Rivers ,DE,NE,0,0,13,0,0,4,24,17,0, , , , , , , , ,58,14.5
Deatrich Wise ,DE,NE,23,54,30,19,41,16,10,31,0, , , , , , , , ,224,28.0
Ryan Glasgow ,DT,CIN,40,28,24,0,0,0,0,0,bye, , , , , , , , ,92,30.7
Carl Lawson ,LB,CIN,42,53,20,32,31,22,25,0,bye, , , , , , , , ,225,32.1
Hardy Nickerson ,LB,CIN,36,84,56,24,8,5,13,15,bye, , , , , , , , ,241,30.1
Jordan Willis ,LB,CIN,39,49,48,29,31,28,26,66,bye, , , , , , , , ,316,39.5
Jordan Evans ,LB,CIN,31,20,41,29,11,24,54,86,bye, , , , , , , , ,296,37.0
Larry Ogunjobi ,DT,CLE,79,58,60,79,76,48,85,60,0, , , , , , , , ,545,68.1
Chuck Clark ,S,BAL,26,13,8,7,9,5,0,6,0, , , , , , , , ,74,9.3
Cameron Sutton ,CB,PIT,33,29,20,55,29,28,bye,15,0, , , , , , , , ,209,29.9
Nate Hairston ,CB,IND,55,74,82,86,0,71,27,9,bye, , , , , , , , ,404,57.7
Quincy Wilson ,CB,IND,40,13,0,0,0,11,39,11,bye, , , , , , , , ,114,22.8
Anthony Walker ,LB,IND,23,39,73,72,14,60,43,41,bye, , , , , , , , ,365,45.6
Grover Stewart ,DT,IND,22,13,22,0,33,39,17,17,bye, , , , , , , , ,163,23.3
Tarell Basham ,DE,NYJ,9,0,0,0,0,0,8,25,0, , , , , , , , ,42,14.0
Blair Brown ,LB,JAC,0,0,0,0,0,0,0,4,bye, , , , , , , , ,4,0.5
Carroll Phillips ,LB,IND,0,0,0,4,19,15,14,0,bye, , , , , , , , ,52,10.4
Dylan Cole ,LB,HOU,33,23,19,0,0,0,0,0,0, , , , , , , , ,75,25.0
Carlos Watkins ,DT,HOU,0,0,0,0,0,0,0,5,0, , , , , , , , ,5,5.0
Jayon Brown ,LB,TEN,44,46,38,76,65,76,32,bye,0, , , , , , , , ,377,53.9
DeMarcus Walker ,DE,DEN,0,0,0,0,0,0,10,2,0, , , , , , , , ,12,6.0
Isaac Rochell ,DE,LAC,51,40,56,27,27,40,29,bye,0, , , , , , , , ,270,38.6
Desmond King ,CB,LAC,43,45,77,26,42,63,47,bye,0, , , , , , , , ,343,49.0
Rayshawn Jenkins ,S,LAC,0,10,0,1,2,25,8,bye,0, , , , , , , , ,46,6.6
Tanoh Kpassagnon ,DE,KC,10,11,4,18,33,0,0,8,0, , , , , , , , ,84,12.0
Marquel Lee ,LB,OAK,24,25,28,64,48,49,bye,43,0, , , , , , , , ,281,40.1
Treyvon Hester ,DT,PHI,0,0,0,0,11,15,34,15,bye, , , , , , , , ,75,18.8
Fadol Brown ,DE,OAK,17,0,14,29,32,21,bye,23,0, , , , , , , , ,136,22.7
Jourdan Lewis ,CB,DAL,0,1,0,1,33,40,12,bye,0, , , , , , , , ,87,14.5
Chidobe Awuzie ,CB,DAL,66,68,69,54,36,0,22,bye,0, , , , , , , , ,315,52.5
Xavier Woods ,S,DAL,0,0,66,54,79,47,60,bye,0, , , , , , , , ,306,61.2
Rasul Douglas ,CB,PHI,2,1,4,0,3,42,0,42,bye, , , , , , , , ,94,11.8
Nathan Gerry ,S,PHI,26,4,0,1,0,0,0,0,bye, , , , , , , , ,31,6.2
Dalvin Tomlinson ,DT,NYG,46,40,31,37,38,40,32,42,bye, , , , , , , , ,306,38.3
Fabian Moreau ,CB,WAS,46,39,58,bye,44,52,58,54,0, , , , , , , , ,351,50.1
Montae Nicholson ,S,WAS,53,61,69,bye,61,60,66,70,0, , , , , , , , ,440,62.9
Josh Harvey-Clemons ,S,WAS,17,10,19,bye,8,14,31,27,0, , , , , , , , ,126,18.0
Ryan Anderson ,LB,WAS,16,14,5,bye,11,13,16,6,0, , , , , , , , ,81,11.6
Eddie Jackson ,S,CHI,60,66,50,54,bye,78,61,54,0, , , , , , , , ,423,60.4
Jamal Agnew ,CB,DET,23,17,22,44,11,bye,0,0,0, , , , , , , , ,117,23.4
Jalen Reeves-Maybin ,LB,DET,26,3,11,14,32,bye,8,11,0, , , , , , , , ,105,15.0
Josh Jones ,S,GB,0,0,0,0,4,0,bye,0,0, , , , , , , , ,4,1.0
Montravious Adams ,DT,GB,2,6,5,5,1,2,bye,5,0, , , , , , , , ,26,3.7
Tashawn Bower ,DE,MIN,9,0,22,14,0,0,5,0,0, , , , , , , , ,50,12.5
Ifeadi Odenigbo ,DE,MIN,0,0,0,0,7,0,0,0,0, , , , , , , , ,7,7.0
Jaleel Johnson ,DT,MIN,22,18,12,13,17,16,30,7,0, , , , , , , , ,135,16.9
Eric Wilson ,LB,MIN,2,0,4,1,4,3,23,26,0, , , , , , , , ,63,7.9
Ben Gedeon ,LB,MIN,29,6,27,2,5,10,12,33,0, , , , , , , , ,124,15.5
Elijah Lee ,CB,SF,10,72,1,0,0,0,10,23,0, , , , , , , , ,116,14.5
Justin Evans ,S,TB,63,79,66,60,bye,67,68,66,0, , , , , , , , ,469,67.0
Damontae Kazee ,S,ATL,35,14,72,73,61,66,62,bye,0, , , , , , , , ,383,54.7
Duke Riley ,LB,ATL,9,58,63,55,51,28,26,bye,0, , , , , , , , ,290,41.4
Corn Elder ,CB,CAR,0,20,0,bye,0,0,0,0,0, , , , , , , , ,20,5.0
Bryan Cox ,DE,CAR,26,0,23,bye,0,0,0,22,0, , , , , , , , ,71,23.7
Al-Quadin Muhammad ,DE,IND,20,46,58,18,0,32,18,2,bye, , , , , , , , ,194,27.7
Marcus Williams ,S,NO,66,62,68,62,61,bye,44,73,0, , , , , , , , ,436,62.3
Arthur Maulet ,CB,IND,0,0,0,0,45,0,0,28,bye, , , , , , , , ,73,18.3
Trey Hendrickson ,DE,NO,14,0,0,0,0,bye,0,0,0, , , , , , , , ,14,14.0
Alex Anzalone ,LB,NO,34,23,13,33,20,bye,21,28,0, , , , , , , , ,172,24.6
Adrian Colbert ,S,SF,71,77,25,0,51,62,34,0,0, , , , , , , , ,320,45.7
D.J. Jones ,DT,SF,19,13,22,17,0,0,0,0,0, , , , , , , , ,71,17.8
Johnathan Ford ,S,ARI,2,0,0,0,0,6,52,2,bye, , , , , , , , ,62,8.9
Budda Baker ,S,ARI,78,72,73,65,95,71,58,66,bye, , , , , , , , ,578,72.3
Samson Ebukam ,LB,LAR,57,31,47,59,48,55,47,40,0, , , , , , , , ,384,48.0
John Johnson ,S,LAR,74,35,52,74,60,66,48,52,0, , , , , , , , ,461,57.6
Tanzel Smart ,DT,LAR,0,0,0,0,0,0,0,5,0, , , , , , , , ,5,5.0
Tedric Thompson ,S,SEA,10,13,12,23,65,60,bye,58,0, , , , , , , , ,241,34.4
Delano Hill ,S,SEA,13,0,0,1,2,5,bye,12,0, , , , , , , , ,33,6.6
Nazair Jones ,DT,SEA,0,12,6,8,0,26,bye,0,0, , , , , , , , ,52,13.0
Mike Tyson ,S,HOU,0,0,0,0,0,0,20,61,0, , , , , , , , ,81,27.0
Cameron Malveaux ,DE,MIA,0,0,0,0,19,32,27,0,0, , , , , , , , ,78,26.0
Chase Allen ,LB,MIA,2,7,10,0,0,0,0,0,0, , , , , , , , ,19,3.8
Torry McTyer ,CB,MIA,6,1,35,52,57,40,0,0,0, , , , , , , , ,191,27.3
Adam Butler ,DT,NE,24,16,28,22,37,21,23,20,0, , , , , , , , ,191,23.9
Kenny Moore ,CB,IND,55,74,82,30,0,70,55,49,bye, , , , , , , , ,415,59.3
Josh Tupou ,DT,CIN,0,0,20,12,0,30,0,13,bye, , , , , , , , ,75,18.8
Daniel Ross ,DE,DAL,16,22,19,23,16,10,0,bye,0, , , , , , , , ,106,17.7
Michael Davis ,CB,LAC,0,0,2,0,14,22,8,bye,0, , , , , , , , ,46,6.6
Xavier Woodson-Luster ,LB,CLE,0,0,0,0,0,0,1,0,0, , , , , , , , ,1,1.0
Nicholas Morrow ,S,OAK,0,0,2,1,3,1,bye,20,0, , , , , , , , ,27,3.9
Tre Sullivan ,CB,PHI,0,0,0,0,0,3,3,2,bye, , , , , , , , ,8,2.0
Isaiah Irving ,LB,CHI,0,0,0,0,bye,0,0,9,0, , , , , , , , ,9,2.3
Lenzy Pipkins ,CB,DET,0,0,0,0,53,bye,0,0,0, , , , , , , , ,53,53.0
Devaroe Lawrence ,DT,CLE,2,0,0,0,0,0,0,0,0, , , , , , , , ,2,2.0
Ryan Lewis ,CB,BUF,0,0,54,67,16,0,0,0,0, , , , , , , , ,137,34.3
Greg Mabin ,CB,SF,0,0,0,29,24,14,49,0,0, , , , , , , , ,116,19.3
Patrick Ricard ,DT,BAL,11,5,8,1,11,0,0,11,0, , , , , , , , ,47,6.7
Dominique Hatfield ,CB,LAR,0,0,0,0,0,0,6,0,0, , , , , , , , ,6,1.2
Keionta Davis ,DE,NE,35,53,17,0,0,0,0,22,0, , , , , , , , ,127,31.8
Bradley Chubb ,LB,DEN,54,48,50,57,42,53,58,52,0, , , , , , , , ,414,51.8
Minkah Fitzpatrick ,CB,MIA,44,42,74,81,41,56,37,33,0, , , , , , , , ,408,51.0
Arden Key ,DE,OAK,32,42,19,49,49,48,bye,37,0, , , , , , , , ,276,39.4
Da'Ron Payne ,DT,WAS,30,39,64,bye,51,47,54,52,0, , , , , , , , ,337,48.1
Derwin James ,S,LAC,56,59,77,59,52,74,70,bye,0, , , , , , , , ,447,63.9
Roquan Smith ,LB,CHI,8,59,41,51,bye,72,34,51,0, , , , , , , , ,316,45.1
Sam Hubbard ,DE,CIN,7,50,28,40,28,27,20,54,bye, , , , , , , , ,254,31.8
Denzel Ward ,CB,CLE,84,64,62,92,87,60,91,71,0, , , , , , , , ,611,76.4
Dorance Armstrong Jr. ,DE,DAL,19,27,19,14,29,21,8,bye,0, , , , , , , , ,137,19.6
Marcus Davenport ,DE,NO,23,23,34,30,35,bye,31,37,0, , , , , , , , ,213,30.4
Carlton Davis ,CB,TB,56,77,63,49,bye,0,65,66,0, , , , , , , , ,376,62.7
Ronnie Harrison ,S,JAC,17,32,17,4,25,20,40,25,bye, , , , , , , , ,180,22.5
Justin Reid ,S,HOU,24,59,21,44,56,62,68,66,0, , , , , , , , ,400,50.0
Vita Vea ,DT,TB,0,0,0,33,bye,28,38,47,0, , , , , , , , ,146,36.5
Rashaan Evans ,LB,TEN,0,0,18,60,48,59,18,bye,0, , , , , , , , ,203,33.8
Taven Bryan ,DT,JAC,13,16,19,9,18,22,11,13,bye, , , , , , , , ,121,15.1
Harold Landry ,LB,TEN,0,35,27,48,30,44,23,bye,0, , , , , , , , ,207,34.5
Isaiah Oliver ,CB,ATL,0,0,11,63,10,0,4,bye,0, , , , , , , , ,88,17.6
Jaire Alexander ,CB,GB,49,56,57,37,0,0,bye,78,0, , , , , , , , ,277,55.4
Mike Hughes ,CB,MIN,52,21,53,46,59,12,0,0,0, , , , , , , , ,243,40.5
Lorenzo Carter ,LB,NYG,24,21,21,37,32,22,24,39,bye, , , , , , , , ,220,27.5
Duke Ejiofor ,DE,HOU,0,15,9,32,11,18,26,18,0, , , , , , , , ,129,18.4
Josey Jewell ,LB,DEN,7,14,38,25,25,20,7,37,0, , , , , , , , ,173,21.6
Tremaine Edmunds ,LB,BUF,80,56,66,76,54,61,66,44,0, , , , , , , , ,503,62.9
Harrison Phillips ,DT,BUF,41,18,23,25,24,22,31,30,0, , , , , , , , ,214,26.8
Da'Shawn Hand ,DT,DET,32,38,22,47,62,bye,41,47,0, , , , , , , , ,289,41.3
Tim Settle ,DT,WAS,8,6,0,bye,8,0,1,4,0, , , , , , , , ,27,3.9
Leighton Vander Esch ,LB,DAL,17,28,33,50,80,47,21,bye,0, , , , , , , , ,276,39.4
Jerome Baker ,LB,MIA,30,15,47,65,34,44,31,36,0, , , , , , , , ,302,37.8
Rasheem Green ,DE,SEA,46,27,29,0,0,0,bye,0,0, , , , , , , , ,102,34.0
Derrick Nnadi ,DT,KC,18,19,18,11,40,39,22,36,0, , , , , , , , ,203,25.4
Kyzir White ,LB,LAC,44,38,60,0,0,0,0,bye,0, , , , , , , , ,142,47.3
Josh Sweat ,DE,PHI,0,0,0,0,8,7,0,4,bye, , , , , , , , ,19,4.8
Holton Hill ,CB,MIN,4,0,1,12,3,0,18,53,0, , , , , , , , ,91,11.4
Terrell Edmunds ,S,PIT,74,32,74,76,72,61,bye,64,0, , , , , , , , ,453,64.7
D.J. Reed ,CB,SF,0,0,51,68,0,21,30,0,0, , , , , , , , ,170,21.3
Matthew Thomas ,LB,PIT,0,0,0,0,4,0,bye,0,0, , , , , , , , ,4,0.6
Darius Phillips ,CB,CIN,0,0,0,0,0,4,15,71,bye, , , , , , , , ,90,12.9
Marquis Haynes ,LB,CAR,0,15,0,bye,0,0,0,0,0, , , , , , , , ,15,15.0
Poona Ford ,DT,SEA,0,15,0,17,17,21,bye,14,0, , , , , , , , ,84,16.8
Anthony Averett ,CB,BAL,17,0,0,0,0,0,0,2,0, , , , , , , , ,19,6.3
Darius Leonard ,LB,IND,56,74,82,85,0,71,52,50,bye, , , , , , , , ,470,67.1
Skai Moore ,LB,IND,27,6,0,0,0,0,0,0,bye, , , , , , , , ,33,8.3
Nick Nelson ,CB,OAK,0,0,0,0,0,0,bye,21,0, , , , , , , , ,21,21.0
Chad Thomas ,DE,CLE,0,10,4,5,0,0,0,3,0, , , , , , , , ,22,5.5
B.J. Hill ,DT,NYG,23,21,14,24,32,32,37,42,bye, , , , , , , , ,225,28.1
Armani Watts ,S,KC,3,16,8,12,23,0,0,0,0, , , , , , , , ,62,12.4
Jordan Whitehead ,S,TB,1,36,55,0,bye,67,23,52,0, , , , , , , , ,234,39.0
Brandon Facyson ,CB,LAC,0,0,0,0,0,2,0,bye,0, , , , , , , , ,2,0.3
Dorian O'Daniel ,LB,KC,0,1,0,2,7,0,24,28,0, , , , , , , , ,62,7.8
Jason Cabinda ,LB,OAK,0,0,0,0,0,0,bye,17,0, , , , , , , , ,17,17.0
Taron Johnson ,CB,BUF,0,0,45,70,27,40,36,46,0, , , , , , , , ,264,37.7
J.C. Jackson ,CB,NE,0,0,12,12,5,0,31,19,0, , , , , , , , ,79,15.8
P.J. Hall ,DT,OAK,32,0,0,19,30,34,bye,45,0, , , , , , , , ,160,32.0
Uchenna Nwosu ,LB,LAC,2,16,19,12,6,11,4,bye,0, , , , , , , , ,70,10.0
Dee Delaney ,CB,JAC,0,0,0,0,0,0,0,1,bye, , , , , , , , ,1,1.0
Tony Brown ,CB,GB,0,0,0,3,7,0,bye,0,0, , , , , , , , ,10,3.3
Quenton Meeks ,CB,JAC,0,0,0,0,1,1,0,45,bye, , , , , , , , ,47,11.8
Deadrin Senat ,DT,ATL,20,25,29,30,36,25,13,bye,0, , , , , , , , ,178,25.4
Greg Stroman ,CB,WAS,11,0,1,bye,5,0,54,68,0, , , , , , , , ,139,19.9
Kenny Young ,LB,BAL,23,58,44,24,20,15,18,25,0, , , , , , , , ,227,28.4
Breeland Speaks ,DE,KC,19,20,6,16,56,76,56,67,0, , , , , , , , ,316,39.5
M.J. Stewart ,CB,TB,19,67,43,34,bye,39,53,44,0, , , , , , , , ,299,42.7
Kemoko Turay ,LB,IND,22,41,40,31,38,49,40,23,bye, , , , , , , , ,284,35.5
Leon Jacobs ,LB,JAC,11,0,11,8,3,10,11,19,bye, , , , , , , , ,73,10.4
Donte Jackson ,CB,CAR,64,43,61,bye,56,62,66,68,0, , , , , , , , ,420,60.0
Nathan Shepherd ,DT,NYJ,32,22,28,39,23,15,24,25,0, , , , , , , , ,208,26.0
Fred Warner ,LB,SF,71,77,75,68,51,71,61,66,0, , , , , , , , ,540,67.5
Siran Neal ,CB,BUF,3,2,0,2,0,0,4,0,0, , , , , , , , ,11,1.4
Parry Nickerson ,CB,NYJ,3,0,42,0,52,58,53,0,0, , , , , , , , ,208,26.0
Keion Crossen ,CB,NE,0,0,1,0,5,0,1,0,0, , , , , , , , ,7,1.2
Ja'Whaun Bentley ,LB,NE,51,30,57,0,0,0,0,0,0, , , , , , , , ,138,46.0
Jessie Bates III ,S,CIN,82,84,66,70,58,69,70,88,bye, , , , , , , , ,587,73.4
Genard Avery ,LB,CLE,43,21,36,42,32,23,74,52,0, , , , , , , , ,323,40.4
Zach Sieler ,DE,BAL,0,0,11,0,0,0,0,0,0, , , , , , , , ,11,11.0
Matthew Adams ,LB,IND,0,0,0,0,14,14,12,8,bye, , , , , , , , ,48,6.0
Zaire Franklin ,LB,IND,9,3,13,5,69,9,8,10,bye, , , , , , , , ,126,15.8
Peter Kalambayi ,LB,HOU,0,0,0,2,3,0,0,17,0, , , , , , , , ,22,3.1
Dane Cruikshank ,CB,TEN,0,1,3,5,0,25,0,bye,0, , , , , , , , ,34,4.9
Isaac Yiadom ,CB,DEN,0,0,31,5,18,8,8,0,0, , , , , , , , ,70,11.7
Maurice Hurst Jr. ,DT,OAK,42,37,28,49,35,42,bye,46,0, , , , , , , , ,279,39.9
Avonte Maddox ,CB,PHI,0,0,0,20,62,65,58,64,bye, , , , , , , , ,269,33.6
Kylie Fitts ,DE,CHI,0,0,0,0,bye,0,0,7,0, , , , , , , , ,7,7.0
Bilal Nichols ,DT,CHI,0,11,6,33,bye,15,35,20,0, , , , , , , , ,120,20.0
Joel Iyiegbuniwe ,LB,CHI,0,0,0,3,bye,0,0,0,0, , , , , , , , ,3,0.4
Tracy Walker ,S,DET,1,10,13,27,12,bye,18,1,0, , , , , , , , ,82,11.7
Oren Burks ,LB,GB,0,0,8,20,25,28,bye,8,0, , , , , , , , ,89,17.8
Josh Jackson ,CB,GB,46,34,38,49,47,21,bye,2,0, , , , , , , , ,237,33.9
Jalyn Holmes ,DT,MIN,0,0,0,0,9,15,18,0,0, , , , , , , , ,42,14.0
Jack Cichy ,LB,TB,0,0,0,2,bye,0,4,0,0, , , , , , , , ,6,1.0
Foyesade Oluokun ,LB,ATL,4,15,19,22,33,40,38,bye,0, , , , , , , , ,171,24.4
Jermaine Carter ,LB,CAR,0,0,3,bye,11,0,2,3,0, , , , , , , , ,19,2.7
Rashaan Gaulden ,CB,CAR,0,28,22,bye,8,13,12,0,0, , , , , , , , ,83,13.8
Natrell Jamerson ,S,HOU,0,0,0,0,0,0,0,56,0, , , , , , , , ,56,7.0
Tarvarius Moore ,S,SF,0,0,5,0,0,0,12,1,0, , , , , , , , ,18,2.3
Justin Lawler ,DE,LAR,1,1,0,0,1,12,3,0,0, , , , , , , , ,18,2.3
Tre Flowers ,S,SEA,72,0,59,59,66,47,bye,59,0, , , , , , , , ,362,60.3
Jake Martin ,LB,SEA,6,7,3,10,4,28,bye,19,0, , , , , , , , ,77,11.0
Chris Board ,S,BAL,10,0,0,0,0,0,0,2,0, , , , , , , , ,12,1.5
James Crawford ,LB,GB,0,0,0,1,0,0,bye,0,0, , , , , , , , ,1,0.1
Tre Herndon ,CB,JAC,0,0,2,0,0,0,0,32,bye, , , , , , , , ,34,6.8
Matt Dickerson ,DE,TEN,0,0,8,0,0,6,0,bye,0, , , , , , , , ,14,7.0
Ben Niemann ,LB,KC,0,0,0,0,0,0,9,2,0, , , , , , , , ,11,1.8
Charvarius Ward ,CB,KC,0,0,0,0,0,0,9,0,0, , , , , , , , ,9,1.8
Grant Haley ,CB,NYG,0,0,0,0,0,0,4,39,bye, , , , , , , , ,43,21.5
Kevin Toliver II ,CB,CHI,0,0,22,49,bye,25,0,0,0, , , , , , , , ,96,16.0
Tyler Lancaster ,DT,GB,0,0,0,0,0,3,bye,8,0, , , , , , , , ,11,3.7
Taylor Stallworth ,DT,NO,0,26,27,21,22,bye,0,28,0, , , , , , , , ,124,24.8
Frankie Luvu ,LB,NYJ,35,33,31,0,28,26,21,9,0, , , , , , , , ,183,26.1
Sharif Finch ,LB,TEN,14,4,12,8,3,23,11,bye,0, , , , , , , , ,75,10.7
Bruce Hector ,DT,PHI,7,3,2,6,0,0,21,12,bye, , , , , , , , ,51,8.5
Sean Chandler ,CB,NYG,0,0,1,0,0,0,0,18,bye, , , , , , , , ,19,2.4
Danny Johnson ,CB,WAS,0,0,0,bye,0,0,3,0,0, , , , , , , , ,3,0.4
