player,position,team,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,total,average
Kyle Emanuel ,LB,LAC,13,17,0,31,11,15,24,bye,0, , , , , , , , ,111,15.9
Darius Philon ,DE,LAC,35,36,53,45,36,52,47,bye,0, , , , , , , , ,304,43.4
Rakeem Nunez-Roches ,DT,TB,0,0,0,0,bye,0,22,23,0, , , , , , , , ,45,22.5
Steven Nelson ,CB,KC,82,81,68,60,83,78,48,73,0, , , , , , , , ,573,71.6
Ramik Wilson ,LB,LAR,35,20,35,37,1,0,10,0,0, , , , , , , , ,138,17.3
Damien Wilson ,LB,DAL,18,17,12,9,24,10,21,bye,0, , , , , , , , ,111,15.9
Mark Nzeocha ,LB,SF,33,16,0,0,0,2,5,0,0, , , , , , , , ,56,7.0
Jordan Hicks ,LB,PHI,70,58,59,71,62,65,59,64,bye, , , , , , , , ,508,63.5
Olsen Pierre ,DE,ARI,4,0,0,25,51,19,22,19,bye, , , , , , , , ,140,23.3
Quandre Diggs ,CB,DET,58,64,48,43,81,bye,56,61,0, , , , , , , , ,411,58.7
Akeem King ,CB,SEA,2,66,0,0,0,0,bye,1,0, , , , , , , , ,69,9.9
David Mayo ,LB,CAR,18,27,29,bye,14,0,1,0,0, , , , , , , , ,89,12.7
Tyeler Davison ,DT,NO,52,0,0,25,27,bye,32,30,0, , , , , , , , ,166,33.2
Rodney Gunter ,DT,ARI,30,26,25,16,76,23,33,54,bye, , , , , , , , ,283,35.4
Bryce Hager ,LB,LAR,0,10,0,0,0,0,14,2,0, , , , , , , , ,26,3.3
Frank Clark ,DE,SEA,43,50,46,47,54,29,bye,43,0, , , , , , , , ,312,44.6
David Irving ,DT,DAL,0,0,0,0,0,22,34,bye,0, , , , , , , , ,56,28.0
Justin March-Lillard ,LB,DAL,7,0,0,0,0,1,0,bye,0, , , , , , , , ,8,1.1
Nick Dzubnar ,LB,LAC,1,0,0,0,0,0,0,bye,0, , , , , , , , ,1,0.1
Bryce Callahan ,CB,CHI,56,56,42,55,bye,74,39,53,0, , , , , , , , ,375,53.6
Justin Coleman ,CB,SEA,36,20,47,40,63,46,bye,51,0, , , , , , , , ,303,43.3
Deshazor Everett ,CB,WAS,2,2,2,bye,12,0,4,2,0, , , , , , , , ,24,3.4
Josh Keyes ,LB,HOU,0,0,0,0,0,0,0,24,0, , , , , , , , ,24,24.0
Ryan Delaire ,DE,SF,0,0,0,0,10,0,0,0,0, , , , , , , , ,10,10.0
Jermaine Whitehead ,S,GB,25,25,15,39,0,27,bye,75,0, , , , , , , , ,206,34.3
Xavier Williams ,DT,KC,30,33,32,27,23,26,18,27,0, , , , , , , , ,216,27.0
Zach Vigil ,LB,WAS,16,1,0,bye,0,0,0,0,0, , , , , , , , ,17,2.4
Neville Hewitt ,LB,NYJ,7,3,0,2,0,0,0,0,0, , , , , , , , ,12,1.5
Troy Hill ,CB,LAR,0,10,9,2,49,40,47,36,0, , , , , , , , ,193,24.1
Matt Longacre ,LB,LAR,22,20,19,38,29,23,30,22,0, , , , , , , , ,203,25.4
Cameron Lynch ,LB,TB,0,0,0,3,bye,0,1,0,0, , , , , , , , ,4,0.6
Curtis Riley ,CB,NYG,61,52,68,70,70,70,65,66,bye, , , , , , , , ,522,65.3
Quinton Dunbar ,CB,WAS,40,60,68,bye,58,60,0,0,0, , , , , , , , ,286,57.2
Efe Obada ,DE,CAR,0,0,19,bye,18,23,26,24,0, , , , , , , , ,110,22.0
Clayton Geathers ,S,IND,56,74,82,86,20,0,0,50,bye, , , , , , , , ,368,61.3
Jordan Richards ,S,ATL,0,53,25,18,47,65,24,bye,0, , , , , , , , ,232,38.7
Ibraheim Campbell ,S,GB,0,1,0,0,0,0,bye,1,0, , , , , , , , ,2,0.4
Anthony Harris ,S,MIN,0,0,0,0,0,15,26,49,0, , , , , , , , ,90,12.9
Corey Moore ,S,IND,0,0,0,0,1,17,8,18,bye, , , , , , , , ,44,5.5
Vernon Hargreaves ,CB,TB,53,0,0,0,bye,0,0,0,0, , , , , , , , ,53,53.0
Jalen Ramsey ,CB,JAC,71,61,60,56,69,71,64,62,bye, , , , , , , , ,514,64.3
Emmanuel Ogbah ,DE,CLE,27,0,0,74,70,54,88,61,0, , , , , , , , ,374,62.3
DeForest Buckner ,DT,SF,54,63,55,52,47,65,40,57,0, , , , , , , , ,433,54.1
Robert Nkemdiche ,DT,ARI,55,52,59,51,0,49,20,51,bye, , , , , , , , ,337,48.1
Myles Jack ,LB,JAC,71,61,62,56,70,73,64,62,bye, , , , , , , , ,519,64.9
Shaq Lawson ,DE,BUF,35,0,0,25,19,20,28,43,0, , , , , , , , ,170,28.3
Mackensie Alexander ,CB,MIN,0,54,39,29,28,33,35,11,0, , , , , , , , ,229,32.7
A'Shawn Robinson ,DT,DET,0,23,20,36,32,bye,19,43,0, , , , , , , , ,173,28.8
Jaylon Smith ,LB,DAL,62,57,60,52,79,47,58,bye,0, , , , , , , , ,415,59.3
Austin Johnson ,DT,TEN,28,22,25,22,37,42,17,bye,0, , , , , , , , ,193,27.6
Shilique Calhoun ,LB,OAK,12,0,9,0,0,15,bye,0,0, , , , , , , , ,36,12.0
Reggie Ragland ,LB,KC,42,25,49,26,24,49,27,55,0, , , , , , , , ,297,37.1
Carl Nassib ,DE,TB,26,34,17,15,bye,23,63,61,0, , , , , , , , ,239,34.1
Jonathan Bullard ,DT,CHI,21,19,13,33,bye,22,22,7,0, , , , , , , , ,137,19.6
Eli Apple ,CB,NO,63,33,0,0,71,71,0,70,0, , , , , , , , ,308,61.6
Darron Lee ,LB,NYJ,64,57,77,68,77,69,69,66,0, , , , , , , , ,547,68.4
William Jackson ,CB,CIN,82,83,66,46,60,63,62,82,bye, , , , , , , , ,544,68.0
Andrew Billings ,DT,CIN,33,36,35,34,36,47,45,27,bye, , , , , , , , ,293,36.6
Jayron Kearse ,S,MIN,22,3,0,10,21,5,29,37,0, , , , , , , , ,127,15.9
Leonard Floyd ,LB,CHI,46,39,32,46,bye,61,45,47,0, , , , , , , , ,316,45.1
Adolphus Washington ,DT,CIN,32,0,0,0,17,0,29,35,bye, , , , , , , , ,113,28.3
Maliek Collins ,DT,DAL,24,31,0,0,0,13,24,bye,0, , , , , , , , ,92,23.0
Kenny Clark ,DT,GB,54,55,56,47,57,52,bye,63,0, , , , , , , , ,384,54.9
Artie Burns ,CB,PIT,88,58,25,52,41,29,bye,0,0, , , , , , , , ,293,41.9
Jarran Reed ,DT,SEA,59,51,50,49,60,32,bye,47,0, , , , , , , , ,348,49.7
Noah Spence ,DE,TB,4,0,0,0,bye,0,9,5,0, , , , , , , , ,18,6.0
Vonn Bell ,S,NO,30,40,54,49,51,bye,52,43,0, , , , , , , , ,319,45.6
Jordan Jenkins ,LB,NYJ,44,49,51,53,41,39,35,26,0, , , , , , , , ,338,42.3
Keanu Neal ,S,ATL,37,0,0,0,0,0,0,bye,0, , , , , , , , ,37,37.0
Jalen Mills ,S,PHI,67,58,55,71,62,63,58,23,bye, , , , , , , , ,457,57.1
Anthony Zettel ,DT,CLE,0,9,6,5,2,2,6,9,0, , , , , , , , ,39,5.6
Kentrell Brothers ,LB,MIN,0,0,0,0,0,0,2,0,0, , , , , , , , ,2,0.5
Xavien Howard ,CB,MIA,69,65,74,80,60,70,64,60,0, , , , , , , , ,542,67.8
James Bradberry ,CB,CAR,64,63,65,bye,56,70,66,68,0, , , , , , , , ,452,64.6
Rashard Robinson ,CB,NYJ,0,0,0,0,0,0,0,5,0, , , , , , , , ,5,1.7
Karl Joseph ,S,OAK,7,3,1,0,0,0,bye,31,0, , , , , , , , ,42,10.5
Yannick Ngakoue ,DE,JAC,56,40,42,46,45,44,44,44,bye, , , , , , , , ,361,45.1
Maurice Canady ,CB,BAL,10,0,0,0,0,0,0,0,0, , , , , , , , ,10,10.0
Sheldon Rankins ,DT,NO,42,50,52,35,36,bye,38,47,0, , , , , , , , ,300,42.9
Vernon Butler ,DT,CAR,25,22,30,bye,14,26,20,24,0, , , , , , , , ,161,23.0
Tyler Matakevich ,LB,PIT,0,0,0,0,41,2,bye,0,0, , , , , , , , ,43,6.1
Hassan Ridgeway ,DT,IND,0,12,0,0,0,13,20,0,bye, , , , , , , , ,45,15.0
