Week,Date,Road,Home
8,2018-10-28,BAL,@CAR
8,2018-10-28,NYJ,@CHI
8,2018-10-28,TB,@CIN
8,2018-10-28,SEA,@DET
8,2018-10-28,DEN,@KC
8,2018-10-28,WSH,@NYG
8,2018-10-28,CLE,@PIT
8,2018-10-28,IND,@OAK
8,2018-10-28,SF,@ARI
8,2018-10-28,GB,@LAR
8,2018-10-28,NO,@MIN
8,2018-10-29,NE,@BUF
9,2018-11-01,OAK,@SF
9,2018-11-04,PIT,@BAL
9,2018-11-04,CHI,@BUF
9,2018-11-04,TB,@CAR
9,2018-11-04,KC,@CLE
9,2018-11-04,NYJ,@MIA
9,2018-11-04,DET,@MIN
9,2018-11-04,ATL,@WSH
9,2018-11-04,HOU,@DEN
9,2018-11-04,LAC,@SEA
9,2018-11-04,LAR,@NO
9,2018-11-04,GB,@NE
9,2018-11-05,TEN,@DAL
10,2018-11-08,CAR,@PIT
10,2018-11-11,DET,@CHI
10,2018-11-11,NO,@CIN
10,2018-11-11,ATL,@CLE
10,2018-11-11,MIA,@GB
10,2018-11-11,JAX,@IND
10,2018-11-11,ARI,@KC
10,2018-11-11,BUF,@NYJ
10,2018-11-11,WSH,@TB
10,2018-11-11,NE,@TEN
10,2018-11-11,LAC,@OAK
10,2018-11-11,SEA,@LAR
10,2018-11-11,DAL,@PHI
10,2018-11-12,NYG,@SF
11,2018-11-15,GB,@SEA
11,2018-11-18,DAL,@ATL
11,2018-11-18,CIN,@BAL
11,2018-11-18,MIN,@CHI
11,2018-11-18,CAR,@DET
11,2018-11-18,TEN,@IND
11,2018-11-18,PHI,@NO
11,2018-11-18,TB,@NYG
11,2018-11-18,HOU,@WSH
11,2018-11-18,OAK,@ARI
11,2018-11-18,DEN,@LAC
11,2018-11-18,PIT,@JAX
11,2018-11-19,KC,@LAR
12,2018-11-22,CHI,@DET
12,2018-11-22,WSH,@DAL
12,2018-11-22,ATL,@NO
12,2018-11-25,OAK,@BAL
12,2018-11-25,JAX,@BUF
12,2018-11-25,SEA,@CAR
12,2018-11-25,CLE,@CIN
12,2018-11-25,MIA,@IND
12,2018-11-25,NE,@NYJ
12,2018-11-25,NYG,@PHI
12,2018-11-25,SF,@TB
12,2018-11-25,ARI,@LAC
12,2018-11-25,PIT,@DEN
12,2018-11-25,GB,@MIN
12,2018-11-26,TEN,@HOU
13,2018-11-29,NO,@DAL
13,2018-12-02,BAL,@ATL
13,2018-12-02,DEN,@CIN
13,2018-12-02,LAR,@DET
13,2018-12-02,ARI,@GB
13,2018-12-02,CLE,@HOU
13,2018-12-02,IND,@JAX
13,2018-12-02,BUF,@MIA
13,2018-12-02,CHI,@NYG
13,2018-12-02,LAC,@PIT
13,2018-12-02,CAR,@TB
13,2018-12-02,KC,@OAK
13,2018-12-02,NYJ,@TEN
13,2018-12-02,MIN,@NE
13,2018-12-02,SF,@SEA
13,2018-12-03,WSH,@PHI
14,2018-12-06,JAX,@TEN
14,2018-12-09,NYJ,@BUF
14,2018-12-09,LAR,@CHI
14,2018-12-09,CAR,@CLE
14,2018-12-09,ATL,@GB
14,2018-12-09,IND,@HOU
14,2018-12-09,BAL,@KC
14,2018-12-09,NE,@MIA
14,2018-12-09,NO,@TB
14,2018-12-09,NYG,@WSH
14,2018-12-09,CIN,@LAC
14,2018-12-09,DEN,@SF
14,2018-12-09,DET,@ARI
14,2018-12-09,PHI,@DAL
14,2018-12-09,PIT,@OAK
14,2018-12-10,MIN,@SEA
15,2018-12-13,LAC,@KC
15,2018-12-15,HOU,@NYJ
15,2018-12-15,CLE,@DEN
15,2018-12-16,ARI,@ATL
15,2018-12-16,TB,@BAL
15,2018-12-16,DET,@BUF
15,2018-12-16,GB,@CHI
15,2018-12-16,OAK,@CIN
15,2018-12-16,DAL,@IND
15,2018-12-16,WSH,@JAX
15,2018-12-16,MIA,@MIN
15,2018-12-16,TEN,@NYG
15,2018-12-16,SEA,@SF
15,2018-12-16,NE,@PIT
15,2018-12-16,PHI,@LAR
15,2018-12-17,NO,@CAR
16,2018-12-22,NYG,@IND
16,2018-12-22,BAL,@LAC
16,2018-12-22,JAX,@MIA
16,2018-12-22,WSH,@TEN
16,2018-12-23,ATL,@CAR
16,2018-12-23,CIN,@CLE
16,2018-12-23,TB,@DAL
16,2018-12-23,MIN,@DET
16,2018-12-23,BUF,@NE
16,2018-12-23,GB,@NYJ
16,2018-12-23,HOU,@PHI
16,2018-12-23,LAR,@ARI
16,2018-12-23,CHI,@SF
16,2018-12-23,PIT,@NO
16,2018-12-23,KC,@SEA
16,2018-12-24,DEN,@OAK
17,2018-12-30,CLE,@BAL
17,2018-12-30,MIA,@BUF
17,2018-12-30,DET,@GB
17,2018-12-30,JAX,@HOU
17,2018-12-30,OAK,@KC
17,2018-12-30,CHI,@MIN
17,2018-12-30,NYJ,@NE
17,2018-12-30,CAR,@NO
17,2018-12-30,DAL,@NYG
17,2018-12-30,CIN,@PIT
17,2018-12-30,ATL,@TB
17,2018-12-30,IND,@TEN
17,2018-12-30,PHI,@WSH
17,2018-12-30,LAC,@DEN
17,2018-12-30,SF,@LAR
17,2018-12-30,ARI,@SEA
