Week,Date,Road,Home
1,2018-09-06,ATL,@PHI
1,2018-09-09,BUF,@BAL
1,2018-09-09,PIT,@CLE
1,2018-09-09,CIN,@IND
1,2018-09-09,TEN,@MIA
1,2018-09-09,SF,@MIN
1,2018-09-09,HOU,@NE
1,2018-09-09,TB,@NO
1,2018-09-09,JAX,@NYG
1,2018-09-09,KC,@LAC
1,2018-09-09,WSH,@ARI
1,2018-09-09,DAL,@CAR
1,2018-09-09,SEA,@DEN
1,2018-09-09,CHI,@GB
1,2018-09-10,NYJ,@DET
1,2018-09-10,LAR,@OAK
2,2018-09-13,BAL,@CIN
2,2018-09-16,CAR,@ATL
2,2018-09-16,LAC,@BUF
2,2018-09-16,MIN,@GB
2,2018-09-16,CLE,@NO
2,2018-09-16,MIA,@NYJ
2,2018-09-16,KC,@PIT
2,2018-09-16,PHI,@TB
2,2018-09-16,HOU,@TEN
2,2018-09-16,IND,@WSH
2,2018-09-16,ARI,@LAR
2,2018-09-16,DET,@SF
2,2018-09-16,OAK,@DEN
2,2018-09-16,NE,@JAX
2,2018-09-16,NYG,@DAL
2,2018-09-17,SEA,@CHI
3,2018-09-20,NYJ,@CLE
3,2018-09-23,NO,@ATL
3,2018-09-23,DEN,@BAL
3,2018-09-23,CIN,@CAR
3,2018-09-23,NYG,@HOU
3,2018-09-23,TEN,@JAX
3,2018-09-23,SF,@KC
3,2018-09-23,OAK,@MIA
3,2018-09-23,BUF,@MIN
3,2018-09-23,IND,@PHI
3,2018-09-23,GB,@WSH
3,2018-09-23,LAC,@LAR
3,2018-09-23,CHI,@ARI
3,2018-09-23,DAL,@SEA
3,2018-09-23,NE,@DET
3,2018-09-24,PIT,@TB
4,2018-09-27,MIN,@LAR
4,2018-09-30,CIN,@ATL
4,2018-09-30,TB,@CHI
4,2018-09-30,DET,@DAL
4,2018-09-30,BUF,@GB
4,2018-09-30,HOU,@IND
4,2018-09-30,NYJ,@JAX
4,2018-09-30,MIA,@NE
4,2018-09-30,PHI,@TEN
4,2018-09-30,SEA,@ARI
4,2018-09-30,CLE,@OAK
4,2018-09-30,SF,@LAC
4,2018-09-30,NO,@NYG
4,2018-09-30,BAL,@PIT
4,2018-10-01,KC,@DEN
5,2018-10-04,IND,@NE
5,2018-10-07,TEN,@BUF
5,2018-10-07,NYG,@CAR
5,2018-10-07,MIA,@CIN
5,2018-10-07,BAL,@CLE
5,2018-10-07,GB,@DET
5,2018-10-07,JAX,@KC
5,2018-10-07,DEN,@NYJ
5,2018-10-07,ATL,@PIT
5,2018-10-07,OAK,@LAC
5,2018-10-07,MIN,@PHI
5,2018-10-07,ARI,@SF
5,2018-10-07,LAR,@SEA
5,2018-10-07,DAL,@HOU
5,2018-10-08,WSH,@NO
6,2018-10-11,PHI,@NYG
6,2018-10-14,TB,@ATL
6,2018-10-14,PIT,@CIN
6,2018-10-14,LAC,@CLE
6,2018-10-14,BUF,@HOU
6,2018-10-14,CHI,@MIA
6,2018-10-14,ARI,@MIN
6,2018-10-14,IND,@NYJ
6,2018-10-14,SEA,@OAK
6,2018-10-14,CAR,@WSH
6,2018-10-14,LAR,@DEN
6,2018-10-14,JAX,@DAL
6,2018-10-14,BAL,@TEN
6,2018-10-14,KC,@NE
6,2018-10-15,SF,@GB
7,2018-10-18,DEN,@ARI
7,2018-10-21,TEN,@LAC
7,2018-10-21,NE,@CHI
7,2018-10-21,BUF,@IND
7,2018-10-21,HOU,@JAX
7,2018-10-21,CIN,@KC
7,2018-10-21,DET,@MIA
7,2018-10-21,MIN,@NYJ
7,2018-10-21,CAR,@PHI
7,2018-10-21,CLE,@TB
7,2018-10-21,NO,@BAL
7,2018-10-21,DAL,@WSH
7,2018-10-21,LAR,@SF
7,2018-10-22,NYG,@ATL
8,2018-10-25,MIA,@HOU
8,2018-10-28,PHI,@JAX
