Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20181021_DAL@WAS,20181021,DAL,29:05,17,6,10,1,5-14,1-2,324,61,5.3,74,22,3.4,250,22-35,7.1,4-23,8-65,2,1,1,0,2,3-2,0,5-37.0,37,3-11,1-26,0-0,3/4,2/2,1/2,1-1,1-1,0
20181021_DAL@WAS,20181021,WAS,30:55,15,7,8,0,3-12,0-1,305,58,5.3,130,32,4.1,175,14-25,7.0,1-3,5-35,2,0,1,1,0,1-0,0,6-36.0,3,1-3,0-0,0-0,4/4,2/2,2/2,0-2,0-2,0
20181021_LAR@SF,20181021,LAR,32:51,20,10,10,0,5-12,0-0,331,61,5.4,146,35,4.2,185,18-24,7.7,2-17,1-10,4,2,2,0,0,1-0,0,4-29.0,83,2-36,2-47,2-0,7/7,4/4,3/3,4-7,2-2,1
20181021_LAR@SF,20181021,SF,27:09,16,8,8,0,3-11,0-1,228,58,3.9,107,24,4.5,121,15-27,4.5,7-49,2-10,1,0,1,0,4,3-2,2,5-24.8,27,1-6,1-21,0-0,2/2,1/1,1/1,1-2,1-1,0
20181022_NYG@ATL,20181022,NYG,27:43,21,6,15,0,5-12,0-1,433,62,7.0,61,20,3.1,372,27-38,9.8,4-27,4-58,2,1,1,0,0,1-0,0,4-40.8,111,2-29,4-82,0-0,2/2,0/0,2/2,2-5,2-3,0
20181022_NYG@ATL,20181022,ATL,32:17,22,5,15,2,7-13,0-0,423,62,6.8,67,20,3.4,356,31-39,9.1,3-23,5-29,2,1,1,0,1,1-1,0,3-34.7,22,0-0,1-22,0-0,5/5,2/2,3/3,0-0,0-0,0
Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20181025_MIA@HOU,20181025,MIA,31:09,18,6,11,1,4-13,0-1,370,65,5.7,116,25,4.6,254,22-38,6.7,2-15,5-63,2,1,1,0,1,0-0,1,4-43.8,109,2-29,3-80,0-0,5/5,2/2,3/3,1-2,0-0,0
20181025_MIA@HOU,20181025,HOU,28:51,17,8,8,1,6-12,1-1,427,55,7.8,188,35,5.4,239,16-20,12.0,0-0,8-57,6,1,5,0,0,0-0,0,5-32.4,13,1-13,0-0,1-0,6/6,6/6,0/0,4-4,3-3,0
20181028_PHI@JAC,20181028,PHI,32:38,22,7,15,0,7-12,0-0,395,62,6.4,133,28,4.8,262,21-30,8.7,4-24,4-36,3,0,3,0,2,1-1,1,3-41.3,28,1-0,2-28,0-0,4/4,3/3,1/1,1-2,1-2,0
20181028_PHI@JAC,20181028,JAC,27:22,16,5,10,1,6-14,1-2,335,62,5.4,70,17,4.1,265,24-41,6.5,4-21,5-45,1,0,1,0,1,2-1,0,2-48.0,60,2-31,1-29,1-0,4/4,0/0,4/4,1-3,0-1,0
20181028_BAL@CAR,20181028,BAL,25:59,20,8,11,1,6-12,1-2,325,64,5.1,101,18,5.6,224,26-44,5.1,2-14,9-68,3,1,2,0,3,1-1,2,3-44.0,62,1-23,1-39,0-0,3/3,3/3,0/0,2-2,0-0,0
20181028_BAL@CAR,20181028,CAR,34:01,22,7,14,1,6-12,1-1,386,63,6.1,154,33,4.7,232,22-30,7.7,0-0,4-30,4,2,2,0,0,1-0,0,3-38.0,35,2-21,1-14,2-0,6/6,3/3,3/3,4-5,1-1,0
20181028_NYJ@CHI,20181028,NYJ,27:16,12,3,8,1,3-14,1-1,207,54,3.8,57,24,2.4,150,14-29,5.2,1-3,8-45,1,0,1,0,0,1-0,0,8-37.6,8,1-8,0-0,0-0,2/2,1/1,1/1,1-1,0-0,0
20181028_NYJ@CHI,20181028,CHI,32:44,22,10,11,1,4-12,1-1,395,65,6.1,179,34,5.3,216,16-29,7.4,2-4,2-25,3,1,2,0,0,1-0,0,5-35.4,55,4-36,1-19,0-0,4/5,3/3,1/2,2-3,2-2,0
20181028_TB@CIN,20181028,TB,35:59,29,7,20,2,10-18,2-2,576,83,6.9,126,27,4.7,450,29-50,9.0,6-20,11-75,4,1,3,0,4,1-0,4,3-40.0,8,1-8,0-0,0-0,4/5,2/3,2/2,2-4,1-2,0
20181028_TB@CIN,20181028,CIN,24:01,21,8,13,0,5-13,1-2,402,63,6.4,138,27,5.1,264,21-34,7.8,2-16,4-46,4,2,2,0,0,0-0,0,6-42.5,60,2-29,2-31,4-0,5/6,4/5,1/1,4-4,2-2,0
20181028_SEA@DET,20181028,SEA,34:55,20,8,11,1,6-12,1-2,413,61,6.8,176,42,4.2,237,14-17,13.9,2-11,7-111,4,1,3,0,0,0-0,0,4-47.5,27,1-10,1-17,1-0,4/4,4/4,0/0,3-4,1-2,0
20181028_SEA@DET,20181028,DET,25:05,21,1,17,3,6-10,0-0,331,56,5.9,34,13,2.6,297,27-40,7.4,3-13,4-32,2,0,2,0,3,2-2,1,4-37.8,85,2-8,3-77,0-0,2/2,2/2,0/0,1-2,0-1,0
20181028_DEN@KC,20181028,DEN,32:41,22,10,11,1,4-12,1-1,411,69,6.0,189,30,6.3,222,23-34,6.5,5-40,10-83,3,1,2,0,2,3-1,1,4-40.0,82,2-13,3-69,1-0,3/4,2/2,1/2,2-3,2-2,0
20181028_DEN@KC,20181028,KC,27:19,20,2,15,3,3-10,1-1,340,54,6.3,49,18,2.7,291,24-34,8.6,2-12,7-50,4,0,4,0,1,0-0,1,5-32.6,102,3-15,4-87,1-0,4/5,3/4,1/1,3-4,1-2,0
20181028_WAS@NYG,20181028,WAS,33:38,20,6,10,4,6-15,0-0,360,65,5.5,182,33,5.5,178,20-32,5.6,0-0,8-90,2,1,1,0,1,1-1,0,5-45.6,20,0-0,2-20,2-0,4/5,2/2,2/3,1-3,1-1,0
20181028_WAS@NYG,20181028,NYG,26:22,18,1,15,2,2-14,3-4,303,68,4.5,37,14,2.6,266,30-47,5.7,7-50,11-102,1,0,1,0,2,0-0,2,5-44.0,48,4-18,1-30,0-0,3/3,1/1,2/2,1-4,1-2,0
20181028_CLE@PIT,20181028,CLE,27:48,17,5,9,3,3-13,1-1,237,59,4.0,74,21,3.5,163,22-36,4.5,2-17,7-52,2,0,2,0,1,0-0,1,5-37.8,88,2-26,3-62,1-0,2/4,0/1,2/3,1-2,1-1,0
20181028_CLE@PIT,20181028,PIT,32:12,25,10,14,1,6-13,1-1,421,68,6.2,168,31,5.4,253,24-36,7.0,1-4,8-60,4,2,2,0,2,3-1,1,4-37.5,69,3-46,2-23,1-0,5/5,4/4,1/1,2-2,1-1,1
20181028_IND@OAK,20181028,IND,36:30,28,11,13,4,9-13,0-0,461,71,6.5,222,40,5.6,239,22-31,7.7,0-0,10-77,5,2,3,0,0,0-0,0,1-47.0,27,1-10,1-17,0-0,6/6,4/4,2/2,3-5,2-2,0
20181028_IND@OAK,20181028,OAK,23:30,19,7,12,0,4-8,1-2,347,47,7.4,103,19,5.4,244,21-28,8.7,0-0,10-79,4,1,3,0,1,1-1,0,2-35.0,27,1--1,1-28,0-0,4/4,4/4,0/0,2-2,1-1,0
20181028_SF@ARI,20181028,SF,32:19,16,5,9,2,5-14,0-0,267,63,4.2,107,31,3.5,160,14-28,5.7,4-30,5-59,1,0,1,0,0,2-0,0,7-40.7,84,4-32,2-52,1-0,3/3,1/1,2/2,0-2,0-1,1
20181028_SF@ARI,20181028,ARI,27:41,20,3,15,2,6-14,0-0,321,64,5.0,88,21,4.2,233,23-40,5.8,3-19,9-62,2,0,2,0,2,1-1,1,5-39.4,0,0-0,0-0,0-0,2/2,1/1,1/1,2-3,1-1,0
20181028_GB@LAR,20181028,GB,25:50,16,5,11,0,2-9,0-0,359,52,6.9,106,19,5.6,253,18-30,8.4,3-33,2-10,3,2,1,0,1,1-1,0,5-38.4,81,1-13,3-68,0-0,5/5,3/3,2/2,1-1,1-1,0
20181028_GB@LAR,20181028,LAR,34:10,23,4,18,1,8-18,1-1,416,75,5.5,135,34,4.0,281,20-36,7.8,5-26,2-15,3,0,3,0,0,0-0,0,7-43.3,66,2-2,4-64,0-0,3/3,1/1,2/2,2-4,1-2,1
20181028_NO@MIN,20181028,NO,28:37,17,6,9,2,4-9,0-0,270,53,5.1,106,29,3.7,164,19-24,6.8,0-0,7-64,2,1,1,0,1,0-0,1,2-41.0,65,1-15,2-50,1-0,6/6,3/3,3/3,2-3,2-3,0
20181028_NO@MIN,20181028,MIN,31:23,27,4,19,4,5-10,2-3,423,67,6.3,85,22,3.9,338,31-41,8.2,4-21,6-54,3,1,2,0,2,2-1,1,2-33.0,41,1-4,2-37,1-0,2/3,2/3,0/0,3-4,3-3,0
20181029_NE@BUF,20181029,NE,31:50,22,6,15,1,5-14,0-0,387,72,5.4,76,25,3.0,311,29-45,6.9,2-13,5-33,1,1,0,0,0,1-0,0,4-28.8,21,0-0,1-21,1-0,5/6,1/1,4/5,1-3,1-3,0
20181029_NE@BUF,20181029,BUF,28:10,16,3,13,0,4-14,0-2,333,63,5.3,46,19,2.4,287,24-41,7.0,3-26,6-51,0,0,0,0,2,3-1,1,5-31.6,96,2-33,3-63,0-0,2/2,0/0,2/2,0-0,0-0,0
Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20181101_OAK@SF,20181101,OAK,31:26,14,5,9,0,3-12,0-1,248,55,4.5,102,23,4.4,146,17-25,5.8,7-33,6-40,0,0,0,0,0,2-0,0,6-35.5,51,0-0,2-51,0-0,1/2,0/0,1/2,0-1,0-0,0
20181101_OAK@SF,20181101,SF,28:34,18,6,10,2,5-12,0-0,405,54,7.5,143,32,4.5,262,16-22,11.9,0-0,3-23,4,1,3,0,0,1-0,0,3-48.0,6,2-6,0-0,0-0,6/6,4/4,2/2,2-4,2-3,0
20181104_PIT@BAL,20181104,PIT,36:29,27,8,18,1,10-16,1-1,395,76,5.2,113,27,4.2,282,29-48,5.9,1-10,8-103,3,1,2,0,0,0-0,0,4-30.8,48,3-17,1-31,0-0,3/4,2/3,1/1,3-4,2-3,0
20181104_PIT@BAL,20181104,BAL,23:31,18,5,10,3,4-12,0-1,268,56,4.8,61,16,3.8,207,24-38,5.4,2-14,5-25,1,1,0,0,0,1-0,0,4-38.0,58,2-27,1-31,0-0,4/4,1/1,3/3,1-4,1-2,0
20181104_CHI@BUF,20181104,CHI,25:57,11,4,5,2,3-11,0-0,190,46,4.1,64,25,2.6,126,12-20,6.3,1-9,14-129,4,2,1,1,1,2-0,1,5-37.4,48,3-48,0-0,3-0,7/7,5/5,2/2,3-4,2-2,0
20181104_CHI@BUF,20181104,BUF,34:03,22,6,9,7,6-18,1-3,264,81,3.3,97,28,3.5,167,31-49,3.4,4-22,10-163,1,1,0,0,4,1-1,3,5-28.0,13,2-13,0-0,1-0,1/1,0/0,1/1,1-1,1-1,0
20181104_TB@CAR,20181104,TB,29:00,23,3,17,3,5-12,1-2,301,65,4.6,82,21,3.9,219,24-41,5.3,3-24,8-49,4,0,4,0,2,1-0,2,5-43.8,40,2-15,1-25,0-0,4/4,4/4,0/0,3-3,2-2,0
20181104_TB@CAR,20181104,CAR,31:00,22,8,11,3,4-10,0-1,407,59,6.9,179,32,5.6,228,19-25,9.1,2-19,9-84,6,4,2,0,0,1-0,0,4-46.3,12,1-12,0-0,2-0,6/6,6/6,0/0,5-5,4-4,0
20181104_KC@CLE,20181104,KC,29:09,27,10,15,2,6-10,0-0,499,58,8.6,139,24,5.8,360,23-32,11.3,2-15,11-86,5,2,3,0,1,0-0,1,2-31.0,53,0-0,2-53,1-0,5/6,4/5,1/1,4-4,2-2,0
20181104_KC@CLE,20181104,CLE,30:51,26,6,17,3,5-13,2-3,388,70,5.5,102,25,4.1,286,30-43,6.7,2-22,4-20,3,1,2,0,1,0-0,1,2-19.5,17,1-1,1-16,1-0,1/1,0/0,1/1,3-3,2-2,0
20181104_NYJ@MIA,20181104,NYJ,31:34,15,5,8,2,2-13,0-2,282,64,4.4,80,21,3.8,202,21-39,5.2,4-27,5-45,0,0,0,0,4,0-0,4,6-40.0,17,2-17,0-0,0-0,2/3,0/0,2/3,0-0,0-0,0
20181104_NYJ@MIA,20181104,MIA,28:26,7,1,6,0,3-16,2-2,168,55,3.1,64,27,2.4,104,15-24,4.3,4-35,5-55,0,0,0,0,0,0-0,0,9-42.8,61,3-37,1-24,4-0,3/3,1/1,2/2,0-1,0-0,0
20181104_DET@MIN,20181104,DET,36:45,18,4,13,1,4-15,3-3,214,70,3.1,71,24,3.0,143,25-36,4.0,10-56,8-66,0,0,0,0,1,1-1,0,5-39.6,58,0-0,3-58,1-0,3/3,0/0,3/3,0-3,0-1,0
20181104_DET@MIN,20181104,MIN,23:15,17,3,10,4,3-8,1-1,283,46,6.2,128,23,5.6,155,18-22,7.0,1-9,3-15,3,1,1,1,2,1-1,1,4-40.8,39,1-24,1-15,0-0,4/4,3/3,1/1,2-3,2-2,0
20181104_ATL@WAS,20181104,ATL,32:56,25,6,17,2,10-13,0-0,491,64,7.7,154,24,6.4,337,26-38,8.9,2-13,7-50,5,1,4,0,1,0-0,1,2-51.5,4,1-4,0-0,1-0,6/6,5/5,1/1,2-3,1-1,0
20181104_ATL@WAS,20181104,WAS,27:04,20,5,15,0,5-13,2-2,366,64,5.7,79,15,5.3,287,30-46,6.2,3-19,10-147,2,1,1,0,1,0-0,1,5-48.2,95,1-0,5-95,1-0,2/2,2/2,0/0,2-2,2-2,0
20181104_HOU@DEN,20181104,HOU,32:29,17,4,11,2,4-13,0-1,290,61,4.8,98,33,3.0,192,17-24,8.0,4-21,7-60,2,0,2,0,0,0-0,0,6-48.3,16,2-16,0-0,0-0,3/4,1/2,2/2,2-4,0-0,0
20181104_HOU@DEN,20181104,DEN,27:31,19,5,13,1,5-14,2-2,348,64,5.4,75,20,3.8,273,26-42,6.5,2-17,8-50,2,1,1,0,1,1-1,0,5-44.0,17,6-17,0-0,0-0,3/5,2/2,1/3,2-2,1-1,0
20181104_LAC@SEA,20181104,LAC,24:19,18,6,11,1,2-9,0-0,375,50,7.5,160,22,7.3,215,13-26,8.3,2-13,12-105,3,1,2,0,0,1-0,0,6-42.3,39,4-17,2-22,1-0,1/4,1/3,0/1,1-1,0-0,0
20181104_LAC@SEA,20181104,SEA,35:41,25,11,10,4,4-15,3-3,356,75,4.7,154,32,4.8,202,26-39,5.2,4-33,10-83,2,0,2,0,1,1-0,1,6-50.0,73,3-4,3-69,0-0,3/4,2/2,1/2,2-3,2-3,0
20181104_LAR@NO,20181104,LAR,26:19,23,5,17,1,3-8,0-2,483,59,8.2,92,19,4.8,391,28-40,9.8,0-0,4-32,4,1,3,0,1,0-0,1,1-47.0,88,0-0,3-88,0-0,5/6,3/3,2/3,3-5,2-2,0
20181104_LAR@NO,20181104,NO,33:41,31,10,19,2,7-12,2-2,487,70,7.0,141,34,4.1,346,25-36,9.6,0-0,2-20,6,2,4,0,1,1-1,0,2-33.5,49,0-0,2-49,1-0,7/7,6/6,1/1,5-5,2-2,0
20181104_GB@NE,20181104,GB,32:34,22,6,14,2,6-13,0-1,368,69,5.3,118,25,4.7,250,24-43,5.8,1-9,7-63,2,0,2,0,1,2-1,0,5-42.0,43,0-0,2-43,0-0,3/3,2/2,1/1,2-3,2-3,0
20181104_GB@NE,20181104,NE,27:26,28,11,13,4,4-11,0-1,433,69,6.3,123,31,4.0,310,23-36,8.6,2-21,5-30,4,3,1,0,0,0-0,0,3-49.7,64,1-0,2-64,0-0,5/5,4/4,1/1,3-5,2-4,0
20181105_TEN@DAL,20181105,TEN,34:26,24,11,11,2,11-14,0-0,340,69,4.9,125,36,3.5,215,21-29,7.4,4-25,3-20,4,2,2,0,2,2-2,0,1-38.0,34,3-11,1-23,1-0,4/5,4/4,0/1,4-5,1-2,0
20181105_TEN@DAL,20181105,DAL,25:34,18,5,12,1,5-11,0-1,297,56,5.3,72,19,3.8,225,21-32,7.0,5-18,6-52,2,0,2,0,2,1-1,1,3-41.0,30,1-7,1-23,0-0,2/3,2/2,0/1,1-4,1-2,0
