Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20181008_WAS@NO,20181008,NO,33:17,27,8,15,4,5-9,0-0,447,63,7.1,98,32,3.1,349,26-29,12.0,2-14,4-45,6,3,3,0,1,2-1,0,0-0.0,43,1-0,2-43,1-0,5/6,4/5,1/1,4-5,4-4,0
Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20181011_PHI@NYG,20181011,PHI,32:30,23,5,15,3,9-16,0-0,379,68,5.6,108,31,3.5,271,26-36,7.5,1-7,4-25,4,1,3,0,0,3-0,0,5-48.0,81,5-47,2-34,1-0,6/7,4/4,2/3,4-6,3-3,0
20181011_PHI@NYG,20181011,NYG,27:30,17,5,11,1,4-14,0-1,401,64,6.3,147,17,8.6,254,24-43,5.9,4-27,5-61,1,1,0,0,1,2-0,1,5-41.2,58,3-0,2-58,0-0,3/4,1/1,2/3,0-3,0-1,0
20181014_TB@ATL,20181014,TB,28:21,30,5,23,2,5-8,0-0,512,63,8.1,123,20,6.2,389,30-41,9.5,2-6,4-20,4,0,4,0,2,3-0,2,2-33.5,55,2-15,3-40,0-0,3/4,2/3,1/1,4-6,1-2,0
20181014_TB@ATL,20181014,ATL,31:39,26,6,19,1,8-13,0-0,416,64,6.5,70,22,3.2,346,31-41,8.4,1-8,5-30,4,1,3,0,0,2-0,0,4-41.3,33,2-14,1-19,2-0,6/6,4/4,2/2,3-3,2-2,0
20181014_PIT@CIN,20181014,PIT,34:56,26,7,16,3,8-14,0-0,481,67,7.2,112,21,5.3,369,32-46,8.0,0-0,9-69,3,2,1,0,0,1-0,0,4-41.5,70,2-22,2-48,0-0,4/4,2/2,2/2,2-4,2-3,0
20181014_PIT@CIN,20181014,CIN,25:04,19,5,13,1,6-12,0-0,275,58,4.7,62,13,4.8,213,26-42,5.1,3-16,6-30,3,1,2,0,0,0-0,0,6-41.3,128,1-6,3-122,0-0,3/3,3/3,0/0,3-3,1-1,0
20181014_LAC@CLE,20181014,LAC,31:37,24,15,7,2,1-9,0-0,449,58,7.7,246,36,6.8,203,12-21,9.7,1-12,10-72,5,3,2,0,1,2-0,1,5-31.4,83,3-36,2-47,2-0,6/6,5/5,1/1,3-4,2-3,0
20181014_LAC@CLE,20181014,CLE,28:23,18,4,13,1,6-16,1-3,317,72,4.4,103,21,4.9,214,22-46,4.7,5-24,6-53,1,0,1,0,2,1-0,2,6-34.3,171,4-51,5-120,1-0,2/2,0/0,2/2,1-3,1-2,0
20181014_BUF@HOU,20181014,BUF,33:00,12,4,8,0,6-15,0-0,229,58,3.9,100,27,3.7,129,16-29,4.4,2-16,12-104,1,0,1,0,3,2-1,2,6-39.3,51,3-8,3-43,2-0,3/3,1/1,2/2,1-2,0-1,0
20181014_BUF@HOU,20181014,HOU,27:00,15,3,9,3,3-13,0-0,216,57,3.8,74,24,3.1,142,15-26,5.5,7-35,6-50,1,0,1,0,3,3-1,2,5-39.0,7,3-7,0-0,2-0,4/4,2/2,2/2,1-4,0-1,0
20181014_CHI@MIA,20181014,CHI,28:39,23,8,11,4,8-12,0-1,467,64,7.3,164,31,5.3,303,22-31,9.8,2-13,6-58,4,1,3,0,3,2-2,1,2-39.5,21,1-5,1-16,2-0,4/5,4/4,0/1,2-4,0-2,0
20181014_CHI@MIA,20181014,MIA,31:21,23,6,15,2,8-17,0-0,541,75,7.2,161,31,5.2,380,28-44,8.6,0-0,7-67,3,0,3,0,3,1-1,2,4-34.3,0,0-0,0-0,1-0,5/5,2/2,3/3,1-3,1-2,0
20181014_ARI@MIN,20181014,ARI,25:45,16,5,9,2,0-10,0-2,269,55,4.9,61,20,3.1,208,21-31,6.7,4-32,5-30,2,1,0,1,2,1-1,1,6-43.7,77,3-17,3-60,1-0,3/3,2/2,1/1,1-3,1-2,0
20181014_ARI@MIN,20181014,MIN,34:15,20,8,12,0,5-14,0-1,411,70,5.9,195,32,6.1,216,24-34,6.4,4-17,9-52,3,2,1,0,2,1-1,1,5-41.6,43,3-26,1-17,1-0,5/5,3/3,2/2,2-3,1-1,0
20181014_IND@NYJ,20181014,IND,22:58,24,7,15,2,5-12,0-1,428,66,6.5,127,23,5.5,301,23-43,7.0,0-0,8-66,4,0,4,0,4,1-1,3,2-43.5,50,0-0,2-50,1-0,6/6,4/4,2/2,3-5,1-2,0
20181014_IND@NYJ,20181014,NYJ,37:02,18,5,12,1,6-15,0-0,374,68,5.5,107,36,3.0,267,24-30,8.9,2-13,7-49,2,0,2,0,2,3-1,1,1-43.0,75,1-6,3-69,3-0,10/10,3/3,7/7,1-6,1-1,0
20181014_SEA@OAK,20181014,SEA,31:26,19,6,11,2,9-13,0-0,369,61,6.0,155,37,4.2,214,17-23,9.3,1-8,8-64,3,0,3,0,1,1-0,1,2-43.0,23,1-0,2-23,0-0,5/5,3/3,2/2,3-5,1-1,0
20181014_SEA@OAK,20181014,OAK,28:34,15,5,8,2,4-12,0-1,185,56,3.3,79,19,4.2,106,23-31,3.4,6-36,5-38,0,0,0,0,2,3-2,0,3-30.7,0,0-0,0-0,1-0,1/2,0/0,1/2,0-1,0-0,0
20181014_CAR@WAS,20181014,CAR,24:36,22,7,15,0,3-9,0-1,350,59,5.9,81,18,4.5,269,27-40,6.7,1-6,8-55,2,0,2,0,3,3-2,1,3-34.3,37,1-0,2-37,0-0,1/2,0/1,1/1,1-3,1-1,0
20181014_CAR@WAS,20181014,WAS,35:24,18,7,10,1,7-16,1-2,288,67,4.3,132,28,4.7,156,21-36,4.3,3-7,5-43,2,0,2,0,0,1-0,0,4-41.0,34,1-10,2-24,1-0,5/5,2/2,3/3,1-2,1-1,0
